prefix	input_text	target_text
other	PersonX wins third place	gets advanced to final
other	PersonX decides to check it out	likes it and buys it
other	PersonX talks to PersonY's parents	parents feel more content
other	PersonX lies beyond the scope	aloof
other	PersonX invites all of PersonY's friends	to pick up the phone
other	PersonX thanks the ___ for PersonY's assistance	to hear what they say
other	PersonX gets PersonY estimate	to buy something
other	PersonX searches for hours	they are sure they have done their best
other	PersonX measures the ingredients	excited to start the job
other	PersonX visits family	to drive to the family's house
other	PersonX presses charges	scrared
other	PersonX converts ___ to energy	to praise the findings
other	PersonX travels ___ to reach	feels tired
other	PersonX throws ___ in the eyes	Cannot defend themselves
other	PersonX sees ___ that PersonY liked	happy.
other	PersonX uses PersonY's ___ to prevent	pumped
other	PersonX surprises PersonY's friend	happy
other	PersonX backs PersonY's car	stupid
other	PersonX supports PersonY's cause	supportive
other	PersonX uses PersonY technique	gains respect in the eyes of others
other	PersonX brings together the ___	to rest
other	PersonX changes horses in midstream	to be on the run
other	PersonX defends PersonY's position	receives support and gets excited
other	PersonX takes ___ away from PersonY	to run back into their room
other	PersonX turns PersonY's gaze	to be heard
other	PersonX never let ___	to do their own thing
other	PersonX hits my head	to hurt me
other	PersonX tickles PersonY's funny bone	smiles
other	PersonX occupies the ___ for years	honorable
other	PersonX tells PersonY came	PersonX catches PersonY off guard
other	PersonX comes to PersonY understanding	has gained favor
other	PersonX makes a fool of PersonY	to be left alone
other	PersonX loses PersonY job	to make amends
other	PersonX takes ___ to the city	is on time to work
other	PersonX is at the store with PersonY's mom	buys milk
other	PersonX brings ___ to light	to expose something
other	PersonX is going to the park	sweats from sun
other	PersonX is dating a girl	connected
other	PersonX ticks all the boxes	gets the job
other	PersonX applies the ___ to the study	to teach someone
other	PersonX makes PersonY money	to close the shop for the day
other	PersonX makes PersonX's mom happy	happy
other	PersonX goes wild	punch PersonX
other	PersonX has just gotten married	move into new home
other	PersonX protests PersonX's innocence	to close the case
other	PersonX takes a job	wanted
other	PersonX makes it on time	to see how they been
other	PersonX writes ___ on the board	educated on the information conveyed
other	PersonX puts PersonY's ___ at ease	day goes by faster
other	PersonX flies out of the traps	get caught
other	PersonX starts lessons	very happy, satisfied
other	PersonX saves PersonY's life	Continues living
other	PersonX finds online	to browse
other	PersonX stops the bleeding	to cut themselves
other	PersonX gets PersonY understanding	relieved
other	PersonX has trouble paying PersonX's bills	worries
other	PersonX solves the ___ using	to learn a formula
other	PersonX answers the call	interested
other	PersonX makes lasagna	they enjoy the other person's company
other	PersonX gives PersonY security	grateful
other	PersonX declares ___ on russia	happy
other	PersonX catches PersonY by surprise	fun
other	PersonX keeps PersonY's eyes open	to stay awake
other	PersonX runs PersonY's business	gets a raise
other	PersonX maintains PersonY relationship	happy
other	PersonX devolves upon PersonY	to promise PersonX they will fulfil their legacy
other	PersonX drives PersonY's car on the highway	ask permission
other	PersonX takes about an hour	personX has wasted time
other	PersonX drinks wine	improve their health
other	PersonX takes PersonY to the mall	to go shopping with PersonX
other	PersonX raises the ___ to PersonX's lips	drops the object on the floor
other	PersonX sees note 3	pick up note 3
other	PersonX marries PersonY's sister	to go on a honeymoon
other	PersonX makes a list	determine a list needs to be made
other	PersonX keeps going	to finish something
other	PersonX knows the ___ better	to keep doing what they are doing
other	PersonX changes PersonY's diet	hopeful.
other	PersonX takes the game to ___	a completion
other	PersonX takes ___ to reach	to take their time
other	PersonX buys a new hat	Protects their head from the sun.
other	PersonX shakes hands with PersonY	very excited and homely
other	PersonX improves PersonX's situation	proud.
other	PersonX crosses the street	clothes
other	PersonX makes french toast	PersonX obtains a sugar rush
other	PersonX comes to PersonY's rescue	on edge from adrenaline
other	PersonX goes and buy ___	cash it in
other	PersonX carries the ___ along	to tell the story
other	PersonX pushes ___ back	fall
other	PersonX gets to the bottom of ___	PersonX gets muddy
other	PersonX is playing in a basketball game	better at playing the game
other	PersonX spends time with PersonY's friends	They wipe his tears .
other	PersonX tries to bite PersonY	to fight
other	PersonX gives ___ a gift	jumps for joy
other	PersonX calls thee ___	to summon a spirit
other	PersonX obeys PersonY's commands	good about themselves
other	PersonX gives PersonY a break	good if they agree with the break.
other	PersonX raises PersonX's ___ in protest	to support PersonX
other	PersonX loves to paint	inspired by the paintings
other	PersonX becomes PersonY expert	wiser
other	PersonX tries PersonY's food	interested in their reaction
other	PersonX takes PersonX's dog to the dog park	to put a leash on the dog
other	PersonX brings PersonY's car	relief
other	PersonX visits ___ last week	Person X sleep in his home
other	PersonX opens PersonX's big mouth	embarrassed
other	PersonX drives too fast	excited
other	PersonX smells like PersonY	connected to person
other	PersonX wants a new haircut	Tries to do it themselves
other	PersonX gives ___ medicine	sickness
other	PersonX answers PersonY's phone	to know who is calling
other	PersonX lifts PersonY head	give thanks
other	PersonX is eating pizza	satisfied
other	PersonX finishes PersonY's sentence	PersonY is interrupted
other	PersonX passes upon PersonY	thinks about who PersonY is
other	PersonX takes PersonY ___ to get there	thankful
other	PersonX watches PersonX's show	to support person y
other	PersonX shows PersonY's parents	annoyed
other	PersonX gives PersonY advice	annoyed
other	PersonX reaches every ___	included
other	PersonX watches ___ for hours	take a day off of work
other	PersonX eventually ran	to catch PersonX
other	PersonX denies god 's ___	decide to deny God
other	PersonX swirls around PersonY	silly
other	PersonX is proud of PersonY's accomplishment	thankful of personx's support.
other	PersonX goes for the jugular	to run away.
other	PersonX gets bitten	pain
other	PersonX supports PersonY's position	to be nice
other	PersonX does one 's duty	like a team
other	PersonX brings out in a rash	come into contact with poison ivy
other	PersonX talks to PersonY's mother	meet person y's mother
other	PersonX waits in line for an hour	to get to the window
other	PersonX eats something	pleased
other	PersonX gets hotter	worried
other	PersonX kills PersonY man	scared
other	PersonX digs PersonY's nails	PersonX breaks a nail
other	PersonX faces contact with consumers	to get some rest.
other	PersonX has enough money to pay PersonX's rent	to pay the bill on time
other	PersonX paints PersonY's toenails	it's part of personx's job
other	PersonX washes dishes	relieved
other	PersonX drives to the store	to get food
other	PersonX controls PersonX's behavior	Stays out of trouble
other	PersonX cuts off PersonY's head	to kill person y
other	PersonX sees PersonY soon	good to see x
other	PersonX sleeps away the ___	to have a cup of coffee after waking up.
other	PersonX cooks dinner for PersonY	full
other	PersonX has a new boyfriend	romantic
other	PersonX writes PersonY answer	to share knowledge
other	PersonX makes a wish	whispers
other	PersonX calls PersonX's grandparents	to talk to her grandmother
other	PersonX invites PersonY to lunch	excited
other	PersonX affords a car	to get places quicker
other	PersonX pats PersonY's shoulder	to invite PersonY on stage
other	PersonX describes briefly the ___	happy to know the benefits of the product
other	PersonX drops PersonY's arms	sad
other	PersonX joins a book club	to welcome PersonX to the book club
other	PersonX celebrates PersonY's birthday	to have a great time
other	PersonX would play	to be playful
other	PersonX opens PersonX's gift	like the gift is appreciated
other	PersonX gives PersonY a place	to be kind, generous, and nice
other	PersonX escapes PersonY's cage	to threaten him
other	PersonX works one day	to interview for a job
other	PersonX brings home the ___	bring something home
other	PersonX seeks god 's ___	guidance
other	PersonX knocks ___ out of the park	he wanted his team to win
other	PersonX gives ___ a huge hug	They leave the interaction more confident
other	PersonX visits ___ with PersonX's family	to catch up with what has been happening
other	PersonX is given detention	teacher must supervise
other	PersonX studies for weeks	to relax
other	PersonX makes love to PersonY	She yelled
other	PersonX offers help	grateful
other	PersonX depends upon the amount	works harder
other	PersonX is practicing for weeks	to be the best
