prefix	input_text	target_text
oReact	PersonX buys PersonY's ticket	happy
oReact	PersonX pats PersonY's back	happy
oReact	PersonX washes PersonY's disciples ' ___	justified
oReact	PersonX rides PersonY's skateboard	left out
oReact	PersonX drops the f-bomb	offended
oReact	PersonX makes PersonY claim	good
oReact	PersonX divides ___ into classes	segregated
oReact	PersonX seems really nice	good
oReact	PersonX puts PersonZ's ___ around PersonY	helpful and friendly
oReact	PersonX meets a handsome man	satisifed
oReact	PersonX shakes hands with PersonY	very excited and homely
oReact	PersonX waits in the wings	happy and encouraging
oReact	PersonX holds PersonY back	relief
oReact	PersonX grabs PersonY's backpack	sad
oReact	PersonX makes ___ for PersonX's boyfriend	happy.
oReact	PersonX pricks PersonY's finger	anxious
oReact	PersonX takes PersonY to the circus	grateful
oReact	PersonX really likes PersonY	happy
oReact	PersonX satisfies PersonX's curiosity	really satisfied and content with answers.
oReact	PersonX accidentally knocked	irritated
oReact	PersonX calls ___ at home	happy
oReact	PersonX gets a puppy	happy
oReact	PersonX clasps PersonY's hands	interested
oReact	PersonX gets PersonY's money 's ___	unhappy
oReact	PersonX wants to lose PersonY	scared
oReact	PersonX supports PersonY's cause	hopeful
oReact	PersonX plays basketball with PersonX's friends after school	amused
oReact	PersonX buys a new microwave	good
oReact	PersonX takes PersonY's stance	amused at the copy cat technique.
oReact	PersonX catches PersonY napping	irresponsible
oReact	PersonX eats at a restaurant	tired
oReact	PersonX calls ___ back in	annoyed
oReact	PersonX explains everything to PersonY	satisfied also
oReact	PersonX gives PersonY a welcome	good
oReact	PersonX asks ___ what was wrong	appreciated
oReact	PersonX plies PersonY's trade	grateful to have a good friend
oReact	PersonX explains what happened	informed
oReact	PersonX supports PersonY's families	grateful
oReact	PersonX grips ___ firmly in PersonY's hands	aroused also
oReact	PersonX accuses PersonY of cheating	angry
oReact	PersonX pays ___ to the subject	happy
oReact	PersonX sings the praises of ___	shy
oReact	PersonX is on a first date	hopeful
oReact	PersonX tells PersonX's best friend	sad
oReact	PersonX makes PersonY excuse	betrayed by personx
oReact	PersonX uses PersonY's laptop	glad to have laptop back
oReact	PersonX hits another car	nervous
oReact	PersonX provides ___ for PersonX's children	grateful
oReact	PersonX sings and dance	amused
oReact	PersonX keeps the ___ in repair	grateful
oReact	PersonX tells ___ that PersonY was pregnant	cheerful
oReact	PersonX hires a trainer	glad to be employed
oReact	PersonX makes fun of	sad
oReact	PersonX crashes the car	furious
oReact	PersonX leads PersonY army	helped
oReact	PersonX gives gifts	thankful
oReact	PersonX paints PersonY's portrait	grateful
oReact	PersonX is playing basketball with PersonY's friends	ssatisfied
oReact	PersonX asks PersonY for a pencil	bothered
oReact	PersonX pulls PersonY's close	held
oReact	PersonX invites ___ except PersonY	sad
oReact	PersonX hits the high notes	more knowledgeable
oReact	PersonX meets my wife	friendly
oReact	PersonX treats PersonY like a PersonZ	equal
oReact	PersonX joins the military	happy
oReact	PersonX makes PersonY laugh	joyful
oReact	PersonX reads aloud to PersonY	entertained
oReact	PersonX wins the game	sad
oReact	PersonX makes PersonY laugh	happy
oReact	PersonX goes to the movies with PersonX's friends	happy
oReact	PersonX tosses it back	happy
oReact	PersonX assists the ___ in understanding	glad to have a smart worker
oReact	PersonX watches a new movie	delighted
oReact	PersonX drops PersonY's gaze	angry at x for hiding things
oReact	PersonX wins the tickets	excited
oReact	PersonX practices diligently	happy
oReact	PersonX has dinner together	thankful
oReact	PersonX is glad PersonY went	neutral
oReact	PersonX spends ___ with friends	connected
oReact	PersonX takes ___ home with PersonY	neutral
oReact	PersonX steals PersonY's lunch	angry, upset
oReact	PersonX spends ___ with PersonY's family	appreciated
oReact	PersonX reads ___ aloud	informed
oReact	PersonX safeguards PersonY's interests	safe
oReact	PersonX plays basketball with PersonY's friends	tired
oReact	PersonX loves the cookies	happy about the cookies also
oReact	PersonX checks PersonY's watch	bothered
oReact	PersonX makes room for PersonY	thankful
oReact	PersonX plays bingo	happy.
oReact	PersonX is tired from work	concerned
oReact	PersonX brings up PersonX's children	cared for.
oReact	PersonX takes PersonY's daughter	grateful
oReact	PersonX lets PersonY's head fall	hurt
oReact	PersonX decides to adopt it	loved
oReact	PersonX suits to PersonY's needs	appreciative
oReact	PersonX takes PersonY's husband	hurt
oReact	PersonX agrees to take PersonY	grateful and happy.
oReact	PersonX bakes some cookies	hungry
oReact	PersonX assists the ___ in determining	happy
oReact	PersonX gets a ___ together	organized
oReact	PersonX helps PersonY study	grateful.
oReact	PersonX is planning PersonY's wedding	a burden lifted
oReact	PersonX invites PersonY's friends over	happy
oReact	PersonX knows PersonY well enough	happy
oReact	PersonX makes spaghetti for dinner	loved.
oReact	PersonX converts ___ to christianity	faithful
oReact	PersonX stays the night	content
oReact	PersonX gets PersonY's stuff	grateful
oReact	PersonX begs to differ	annoyed
oReact	PersonX buys ___ for PersonX's children	loved
oReact	PersonX learns how to throw a curveball	happy they will win more games
oReact	PersonX gets fresh	worth it.
oReact	PersonX kisses PersonY passionately	loved
oReact	PersonX shares PersonY's love	wanted
oReact	PersonX inflicts ___ upon PersonY	bad
oReact	PersonX tells PersonX's kids	curious
oReact	PersonX lifts PersonY's head	grateful
oReact	PersonX reads PersonY mind	violated
oReact	PersonX gets busy	also satisfied
oReact	PersonX grabs PersonY's arms	scared
oReact	PersonX cuts PersonY 's hair	happy
oReact	PersonX knocks PersonY off his perch	angry
oReact	PersonX bites PersonY's lower lip	loved
oReact	PersonX holds PersonY in my arms	loved
oReact	PersonX tells PersonY thought	trusted
oReact	PersonX unzips PersonY's pants	happy and excited.
