prefix	input_text	target_text
oEffect	PersonX kisses PersonY back	laughs
oEffect	PersonX wants to meet PersonY	gets call from PersonX
oEffect	PersonX gives PersonY's life	Has a second chance
oEffect	PersonX wants to go to a party	get call from Person X
oEffect	PersonX impresses PersonY's parents	smiles
oEffect	PersonX takes the day off from work	pick up the other person workload
oEffect	PersonX pours ___ on the waters	Tenses up in anger
oEffect	PersonX brings PersonY into contact	PersonY thinks about this event.
oEffect	PersonX asks the waitress	carry plate
oEffect	PersonX plays goalie	tries to get it passed them
oEffect	PersonX invites PersonY to share	They share with X
oEffect	PersonX forgets PersonY's list	Loses trust from clients
oEffect	PersonX receives ___ from the government	NOT SURELY
oEffect	PersonX provides ___ for PersonY's children	PersonY's kids are kept safe.
oEffect	PersonX is going to a dance	wants to make sure they are safe
oEffect	PersonX wipes PersonY's tears	comforted by personX
oEffect	PersonX takes ___ to a baseball game	cheers
oEffect	PersonX refuses to talk to PersonY	tension grows.
oEffect	PersonX fires another ___	hear a loud noise
oEffect	PersonX reduces the ___ much	Becomes grateful towards PersonX
oEffect	PersonX marries PersonX's girlfriend	develops relationship
oEffect	PersonX reproduces this ___ thereof in PersonY form	is appreciative
oEffect	PersonX offers PersonY the job	gets a paycheck
oEffect	PersonX sends PersonY army	fights with all they got
oEffect	PersonX carries PersonY away	gets carried
oEffect	PersonX turns PersonY's attention back	PersonY passes the test
oEffect	PersonX pulls PersonY's head back	hugs PersonX
oEffect	PersonX leads ___ to christ	they become apart of a group
oEffect	PersonX takes a tour	other patrons walk around
oEffect	PersonX helps PersonY in every way	PersonY has their situation improved
oEffect	PersonX buys a new guitar	investment
oEffect	PersonX kicks ___ out of the house	gets coffee to relax
oEffect	PersonX pushes PersonY's back	screams
oEffect	PersonX gives PersonY uneasiness	gets creeped out
oEffect	PersonX sketches briefly the ___	Plans made by others may be affected or altered
oEffect	PersonX treats ___ well	cheer
oEffect	PersonX gives PersonY utterance	they said something back
oEffect	PersonX shows ___ to PersonY's parents	PersonY cautiously and slowly speak
oEffect	PersonX gets PersonY's wallet	loses money
oEffect	PersonX offers ___ a position	works hard
oEffect	PersonX taps PersonY's fingers	moves hand away
oEffect	PersonX rides PersonY's skateboard	takes back skateboard
oEffect	PersonX kicks ___ out of the house	went to fathers house
oEffect	PersonX persuades ___ to join	Workers thank PersonX
oEffect	PersonX goes fishing with PersonX's father	asked for help
oEffect	PersonX plays ___ on PersonY's computer	yells
oEffect	PersonX finds one for sale	receive money
oEffect	PersonX tells PersonY loved	smiles
oEffect	PersonX throws a dinner party	Invitees repond to invite
oEffect	PersonX comes to PersonY's aid	Has sense of being helped, acknowledged
oEffect	PersonX pours gasoline on the fire	sigh in frustration
oEffect	PersonX goes on a date with PersonY	goes home
oEffect	PersonX calls the police on PersonY	makes an arrest
oEffect	PersonX takes PersonY to the zoo	Walks the zoo
oEffect	PersonX wants to fight PersonY	Fights PersonX
oEffect	PersonX prevents the ___ from going	they don't get in trouble
oEffect	PersonX plants a tree in PersonY's backyard	has new responsibility to water tree
oEffect	PersonX sees PersonX's husband	husband speaks back
oEffect	PersonX holds PersonY in my arms	PersonY is hurt
oEffect	PersonX decides to break up with PersonY	PersonY gets dumped.
oEffect	PersonX whips PersonY's head around	Gets whiplash
oEffect	PersonX takes PersonY on a date	they thank him for the date
oEffect	PersonX makes things worse	Sends Person X away to prevent things from getting worse
oEffect	PersonX offers ___ a position	considers the proposal
oEffect	PersonX pleases every ___	wants to be with personX
oEffect	PersonX tells PersonX's son	Becomes enraged
oEffect	PersonX brings PersonY in contact	import
oEffect	PersonX holds PersonY fast	Are restrained
oEffect	PersonX washes PersonX's hands	person x has clean hands
oEffect	PersonX extends the ___ to include	receives new information
oEffect	PersonX wants to tell PersonY	look at PersonX
oEffect	PersonX creates PersonY awareness	Awareness is created
oEffect	PersonX works closely with PersonY	The get promoted
oEffect	PersonX plays ___ with a friend	claps his hands
oEffect	PersonX sees PersonY's husband	makes eye contact
oEffect	PersonX pleases every ___	smiles
