prefix	input_text	target_text
xWant	PersonX makes smoothies	wash the blender
xIntent	PersonX takes PersonY oath	to show his loyalty
xWant	PersonX gets checked out	to put away her groceries.
xReact	PersonX evens got ___	great
xIntent	PersonX checks PersonY's pockets	to take something that isn't theirs
xAttr	PersonX buys ___ from amazon	wealthy
oWant	PersonX rubs PersonY's hands	to say thank you
xIntent	PersonX moves back in with PersonX's parents	to be close to parents
xWant	PersonX heads toward the door	to go home
xReact	PersonX has been practicing for weeks	proud
xNeed	PersonX eats healthier	to stop being junk food
xEffect	PersonX writes PersonY a ticket	issues warning
xNeed	PersonX becomes very interested	to talk with the actors
xWant	PersonX hears someone	respond to someone
oEffect	PersonX guides PersonY even more forcefully onto	saves his life
xEffect	PersonX drives it home	LOADED BY WORKS
xIntent	PersonX finds PersonX's family	to reuinte
xAttr	PersonX asks PersonY for a date	bold
oEffect	PersonX keeps ___ in PersonY's prayers	Becomes closer to God
xAttr	PersonX rents movies	Entertained
oWant	PersonX solves the country 's ___	to thank PersonX
xIntent	PersonX glances back at PersonY	to see what person is doing
oReact	PersonX robs the bank	stolen from
xAttr	PersonX opens PersonX's gifts	friendly
oReact	PersonX confesses PersonX's ___ before PersonY father	angry
xIntent	PersonX smells very bad	to not shower.
oWant	PersonX starts a lemonade stand	chat to X to keep them company
xWant	PersonX gets lucky	to go home
xAttr	PersonX is knocked unconscious	vulnerable
xNeed	PersonX bakes ___ in the oven	to go to the kitchen
xAttr	PersonX takes a class	learned
xWant	PersonX runs late for work	to work hard.
oReact	PersonX gets PersonY understanding	understood
xEffect	PersonX wins something	pays taxes on the winnings
oWant	PersonX observes PersonY closely	help getting a drink to take the medicine with
xAttr	PersonX likes ___ so much	friendly
xReact	PersonX asks PersonY the reason	confounded
xNeed	PersonX sends PersonY's ___ to college	help their child apply to college
xEffect	PersonX leaves PersonY's body	he walks away
oWant	PersonX hangs ___ on PersonX's wall	To compliment X on taste
xWant	PersonX holds PersonX's meetings	drink coffee
oEffect	PersonX takes the law into PersonX's hands	something is taken away
oWant	PersonX shares PersonX's husband 's ___	X to go away
xIntent	PersonX helps PersonY's study	to help
xReact	PersonX changes ___ back	satisfied
xEffect	PersonX pushes open the ___	OPEN COOKWARE
xEffect	PersonX builds PersonX's house	saves a ton of money
xWant	PersonX decides to try something new	skill
xWant	PersonX is really sick	to take medication
