prefix	input_text	target_text
other	PersonX pulls rank	powerless
other	PersonX gives thee ___	to be responsible
other	PersonX puts all PersonX's ___ in basket	Gets a big windfall
other	PersonX decides to join	happy
other	PersonX kills PersonY instantly	boastful
other	PersonX meets ___ at a restaurant	happy
other	PersonX pretends to like it	Faker
other	PersonX gives PersonY instructions	competent
other	PersonX meets PersonY's friend	gets jealous
other	PersonX pushes ___ on the ground	also enjoy
other	PersonX lays hands on ___	to feel
other	PersonX takes PersonX's baby	to spend time together
other	PersonX throws PersonY a party	to dance
other	PersonX is an astronaut when PersonY grew up	learns more about what life was like for astronauts
other	PersonX hires ___ on the spot	to fill a position
other	PersonX gives ___ to PersonX's son	to share information
other	PersonX owns one	popular
other	PersonX spends ___ in jail	to be free
other	PersonX drives PersonY to despair	apologize
other	PersonX uses PersonY technique	gains respect in the eyes of others
other	PersonX sends PersonY to the store	directive
other	PersonX brings the ___ into contact	Ask PersonX for other contacts
other	PersonX goes and get	to have (something)
other	PersonX gives ___ to a son	to be a good mother
other	PersonX braids PersonX's hair	gets braided hair
other	PersonX cooks breakfast	to feed their children
other	PersonX sends ___ instead	embarrassed
other	PersonX turns PersonY's head to look at PersonY	looks at PersonY
other	PersonX ruffles PersonY's feathers	leaves
other	PersonX gets PersonX's first car	Get rides
other	PersonX takes ___ to jail	sad
other	PersonX smells good	content
other	PersonX reconsiders PersonY's decision	thoughtful
other	PersonX gives PersonY PersonX's attention	closer to personx
other	PersonX faces PersonY's fears	challenge himself
other	PersonX wears dirty clothes	smelly
other	PersonX wins first place in the competition	to drink beer
other	PersonX has a great time at PersonY's party	to thank X for coming
other	PersonX drops PersonY's gaze	crafty
other	PersonX keeps coming back	gets back
other	PersonX wears ___ instead	avoid X
other	PersonX helps PersonY a lot	work as a team
other	PersonX picks a fight	angered
other	PersonX hits the big time	determined
other	PersonX protests PersonX's innocence	to close the case
other	PersonX casts pearls before swine	evil
other	PersonX crosses PersonY's palm	interested
other	PersonX is still alive ___	PersonX's muscles are sore from injury
other	PersonX puts PersonY's ___ at ease	day goes by faster
other	PersonX plays a few games	to have fun
other	PersonX improves PersonY's understanding	understood
other	PersonX sees ___ in a light	to look at people and things.
other	PersonX calls the number	get's a call
other	PersonX lowers PersonY's head	runs away from PersonX
other	PersonX protects ___ from exploitation	to pay it forward
other	PersonX cooks dinner for PersonY's girlfriend	has the favor returned
other	PersonX purchases the ingredients	to make a pizza
other	PersonX runs some tests on PersonY	to feel better
other	PersonX gives ___ a shot	helpful
other	PersonX defends PersonY's rights	noble
other	PersonX knows ___ well	preaches to god
other	PersonX takes notice	to not get in trouble
other	PersonX loses interest	bored
other	PersonX saves PersonY's father 's ___	happy
other	PersonX maintains PersonY relationship	happy
other	PersonX turns PersonY around	turn back around
other	PersonX fires the employee	satisfied
other	PersonX breastfeeds PersonX's baby	satisfied
other	PersonX takes the bird	to save him
other	PersonX pays all PersonX's bills	poor
other	PersonX shuts PersonX's face	leave the scene
other	PersonX meets PersonY's friend	to get to know Person X better.
other	PersonX runs PersonX's business	powerful
other	PersonX shoots a deer	attempts to run away
other	PersonX refers the ___ to the court	to end the issue legally
other	PersonX writes ___ on the subject	to turn in his paper
other	PersonX becomes like PersonY	tranforms into new being.
other	PersonX chases the ball	playful
other	PersonX loses PersonY's power	to thank God for regaining her power.
other	PersonX builds PersonY empire	Person y has more money.
other	PersonX delivers up the ___ to god	WARLIKE
other	PersonX strikes ___ in the hearts	people to think they are scary
other	PersonX always admired ___	like their deeds are appreciated
other	PersonX records every ___	good about themselves
other	PersonX spends PersonY's time	to talk to PersonX
other	PersonX completes PersonX's education	proud
other	PersonX washes one another 's ___	to clean them
other	PersonX feels so happy	glad that everything in life is going well
other	PersonX takes ___ on a vacation	fun loving
other	PersonX loses PersonY's money	goes to small claims court
other	PersonX gets into PersonY's car	sweats with nerves
other	PersonX eats my lunch	to go back to work
other	PersonX buys some ear plugs	joy
other	PersonX discusses the ___ in detail	to make changes on some things on the report
other	PersonX eats PersonY's food	irritated.
other	PersonX feels sick	hypochondriacal
other	PersonX fires PersonY's rifle	aggressive
other	PersonX tells PersonY the things	PersonX lowers his/her voice when speaking about the things
other	PersonX gives PersonY's permission	Is responsible for permission given
other	PersonX finally asked PersonY	to have a date
other	PersonX does PersonY proud	happy
other	PersonX sinks to PersonY's knees	to knees in the leg
other	PersonX feels like cooking	to eat
other	PersonX is on PersonX's feet all day	they need to work
other	PersonX uses ___ as the foundation of PersonY's business	smart
other	PersonX gives PersonY the chance	grateful
other	PersonX flips PersonX's wig	Horrified
other	PersonX comes back to PersonY	is welcomed by Y
other	PersonX helps every ___	reward PersonX for helping
other	PersonX is PersonX's first time there	happy
other	PersonX learns how to play golf	dedicated
other	PersonX puts to the sword	to fight back
other	PersonX makes oatmeal for breakfast	happy
other	PersonX tilts PersonY's head back	strong
other	PersonX takes PersonY out to lunch	to spend time with person y
other	PersonX reduces ___ to the level	helpful
other	PersonX takes ___ to a shop	glad
other	PersonX keeps ___ away from PersonY	Stay away from the trigger.
other	PersonX watches ___ for a long time	pensive
other	PersonX suddenly appeared	to say hello
other	PersonX gives ___ up for adoption	to cry
other	PersonX can n't stand it anymore	fed up
other	PersonX is extremely disappointed	guilty
other	PersonX wants PersonY back	Says no way
other	PersonX bade PersonY farewell	to wave goodbye
other	PersonX notices ___ on the counter	Cautious, clever
other	PersonX likes ___ well	study it
other	PersonX makes the cut	capable
other	PersonX gets ___ last month	to take care of a need
other	PersonX improves PersonY's skills	to evaluate PersonY
other	PersonX returns to PersonY's room	to hang out
other	PersonX lets sleeping dogs lie	disengaged
other	PersonX is loud and obnoxious	to try to change
other	PersonX takes care of a PersonY	capable
other	PersonX recently got ___	happy
other	PersonX pulls PersonY closer	Person y looks at person x
other	PersonX stops at a light	puts foot on brake
other	PersonX points PersonY's finger	PersonY is shown an object of interest
other	PersonX sends PersonY on PersonZ's way	mediator
other	PersonX looks good	Attractive
other	PersonX puts PersonX's hair	to go on a date
other	PersonX carries out PersonX's work	to finish their work
other	PersonX rings PersonY's bell	gets PersonY's response
other	PersonX buys a sweater	to be warm
other	PersonX restores the ___ to PersonY's state	to thank them
other	PersonX throws ___ around	gather friends for a game
other	PersonX is a big brother	pleased
other	PersonX extends PersonY's hand	helpful
other	PersonX puts it on the table	discuss the current situation
other	PersonX affects adversely the ___	more money because of high tax
other	PersonX knocks ___ to the ground	got yelled
other	PersonX sings PersonX's songs	fame
other	PersonX wins a new car	becomes rich.
other	PersonX makes PersonY stop	cries
other	PersonX improves drastically	dedicated
other	PersonX dodges a bullet	learns from what happened
other	PersonX finds the smell	to air out the house
other	PersonX gives PersonY a place	to be kind, generous, and nice
other	PersonX returns ___ to the library	grateful
other	PersonX is happy with the results	to smile
other	PersonX takes ___ to the carnival	GETS LIFE STARTED
other	PersonX looks PersonY in the eye	to tell person y something important
other	PersonX does n't want to go to college	to end up going to college
other	PersonX really enjoys	to keep doing it
other	PersonX tells a story	receive new information
other	PersonX drops trow	relieved.
other	PersonX means everything to PersonY	buys a ring
other	PersonX is getting tired	worn out
other	PersonX likes PersonY very much	flattered
other	PersonX receives PersonX's diploma	thinks they've been lied too.
other	PersonX follows ___ around	angry
other	PersonX has a party at PersonX's house	to say goodbye to X
other	PersonX brings ___ inside	PersonX provides shelter
other	PersonX closes the distance between PersonY	gets slapped
other	PersonX pleases PersonY much	to be kind
other	PersonX offers PersonY the job	grateful
other	PersonX gives the gift	happy
other	PersonX gives PersonX's candy	grateful
other	PersonX puts PersonX's trust in PersonY	to help PersonX
other	PersonX tests every ___	make sure it works.
other	PersonX breaks PersonX's mother 's favorite vase	annoyed
other	PersonX feels hungry	exhausted
other	PersonX puts it back on	looks in mirror
other	PersonX improves PersonX's knowledge	satisfied
other	PersonX holds a candle	worthy
other	PersonX uses PersonY's debit card	buy an item
other	PersonX evens took ___	to interact with what was taken
other	PersonX teaches PersonX's son	raised his son well
other	PersonX is at the beach with friends	To surf
other	PersonX throws a football	to score
other	PersonX teaches PersonY a lesson	vengeful
other	PersonX rides PersonX's bike ___	to ride with PersonX
other	PersonX wants to take a vacation	looks at travel brochures
other	PersonX leans towards PersonY	persony hugs personx
other	PersonX takes a walk ___	free
other	PersonX leaves the casino	they are richer
other	PersonX makes pudding	happy
other	PersonX gives PersonY value	Says she's pretty
other	PersonX finishes PersonX's course	gains new knowledge
other	PersonX finds ___ on the internet	interested
other	PersonX listens to PersonY's stories	Gives feedback
other	PersonX executes wrath upon PersonY doeth ___	commands rolling thunder!
other	PersonX gets in touch with PersonY	surprised.
other	PersonX settles the ___ amicably	to move on with their life
other	PersonX makes a lot of new friends	to make conversation
other	PersonX checks PersonY's account	gets their money stolen by PersonX
other	PersonX impresses PersonX's date	happy.
other	PersonX wants PersonY help	gets asked questions
other	PersonX throws the football	fun
other	PersonX gives PersonY the pleasure	happy
other	PersonX leads the ___ back	successful
other	PersonX buries PersonX's head in the sand	avoid problems
other	PersonX develops PersonY interest	inquisitive
other	PersonX takes PersonX's family to the beach	to have a picnic with the entire family.
other	PersonX takes PersonY's lunch	angry
other	PersonX sees PersonY's best friend	Person Y's best friend waves back at person X
other	PersonX wants children	happy
other	PersonX punishes every ___	mean
other	PersonX draws ___ to the fact	bask in how well he has done
other	PersonX makes a good living	be wealthy
other	PersonX buys the bike	to give the bike to their son
other	PersonX grabs a glass	quenched
other	PersonX throws ___ on the question	Person x gets an answer.
other	PersonX maintains PersonY's authority	back up PersonX
other	PersonX pulls PersonY's ___ away	needy
other	PersonX takes PersonY into custody	cries
other	PersonX helps PersonY's mom	happy that someone helped her
other	PersonX gets some coffee	thirsty
other	PersonX makes the right decision	to accept the job offer.
other	PersonX breaks the enemy 's ___	start to panic
other	PersonX makes fun of PersonY's name	laughs
other	PersonX gives ___ to PersonX's parents	to thank PersonX for the giving
other	PersonX comes among PersonY	available
other	PersonX plays a ___ in the formation	to be together with others
other	PersonX gives PersonY a book	happy
other	PersonX loses balance	gets hurt
other	PersonX makes a wish	to get something
other	PersonX applies to college	gets accepted
other	PersonX cancels the trip	plans something else
other	PersonX offer PersonY a ride	has somebody to talk to
other	PersonX sees ___ in class	hard-working
other	PersonX executes ___ also	is congratulated
other	PersonX begins PersonX's career	to be successful
other	PersonX conducts PersonY experiment	waiting to see the result
other	PersonX gets saved	like they will not go to hell
other	PersonX becomes very good	skilled
other	PersonX is driving home from work	to get there
other	PersonX sits opposite PersonY	Person Y gets up and leaves
other	PersonX attains PersonX's end	to achieve an accomplishment
other	PersonX goes near PersonY	satisfied
other	PersonX keeps ___ to a minimum	stress free
other	PersonX explains the rules	listens
other	PersonX meets the organization 's ___	promote X
other	PersonX buys school supplies	is prepared for class
other	PersonX tells PersonY's parents what happened	to gain support
other	PersonX encounters every ___	consistent
other	PersonX buys the sweater	gets a receipt
other	PersonX helps much	to assist others
other	PersonX makes PersonY's name	went to the conference room
other	PersonX is afraid of dogs	nervous
other	PersonX gets robbed	careless
other	PersonX waits PersonY hour	subservient
other	PersonX stays at PersonY's house	scared
other	PersonX sweeps PersonY away	to get rid of PersonY
other	PersonX changes PersonX's mind	to change his mind
other	PersonX breaks PersonY's foot	Goes to court
other	PersonX talks a little bit	shy
other	PersonX saves PersonY soul	generous
other	PersonX tastes bad	add some sugar
other	PersonX talks for hours	satisfied
other	PersonX discusses in detail in chapter	asks the question
other	PersonX gives the kids	to support him
other	PersonX texts PersonY back	accomplished
other	PersonX takes PersonY to school	becomes educated
other	PersonX binds PersonX's ___ together	connected
other	PersonX pets the dog	happy
other	PersonX makes fun of PersonY's name	yells
other	PersonX impresses PersonX's new girlfriend	Talented
other	PersonX kisses PersonY lightly	to show love.
other	PersonX hides PersonX's light under a bushel	to make the other person look for it
other	PersonX fills PersonY's mouth	yells
other	PersonX leaves PersonY's mark	commendable
other	PersonX packs up PersonY's stuff	happy
other	PersonX sweats the small stuff	Shakes
