prefix	input_text	target_text
oWant	PersonX leaves PersonY's keys	to sleep in their own bed.
oWant	PersonX takes PersonY's baby	to relax
oWant	PersonX gets a lot of compliments	to take photos with PersonX
oWant	PersonX distinguishes PersonY from others	to see how they have been
oWant	PersonX drives so fast	to call the police
oWant	PersonX showers upon PersonY	to continue the relationship
oWant	PersonX will always love PersonY	to take person y out on a date
oWant	PersonX decides to quit PersonX's job	to find another employee.
oWant	PersonX dies in the fire	to investigate
oWant	PersonX learns to play the violin	to look at PersonX
oWant	PersonX takes my dog	to have the dog returned
oWant	PersonX provides PersonY information	to tell PersonX to change their identity
oWant	PersonX receives a message	to wait for the response
oWant	PersonX washes PersonY's truck	to pay for service
oWant	PersonX changes PersonY opinion	To thank X
oWant	PersonX creates PersonY illusion	to listen to their directions
oWant	PersonX sends umi a ___	to read it
oWant	PersonX works on PersonY's car	to thanks PersonX.
oWant	PersonX fees the kitten	to purr gently
oWant	PersonX loses PersonY life	PersonX to go jail
oWant	PersonX breaks up with PersonY's boyfriend	She leaves also.
oWant	PersonX gives ___ a gift	to show appreciation.
oWant	PersonX rides PersonY's horse	to see if personX had fun
oWant	PersonX takes ___ to arrive	to greet PersonX
oWant	PersonX talks to PersonY like that	PersonX to leave them alone
oWant	PersonX controls every ___	to protest about how things are done
oWant	PersonX lies at PersonY's feet	move feet
oWant	PersonX pushes the ___ far	to paddle also
oWant	PersonX decides to call PersonY	to ignore the call
oWant	PersonX drops PersonY's keys	to be helped
oWant	PersonX forges PersonY alliance	to break away from the alliance
oWant	PersonX cracks a smile	to carry on a conversation
oWant	PersonX regards PersonY as one	to observe PersonX
oWant	PersonX keeps PersonY's mouth shut	to be able to talk
oWant	PersonX calls PersonX's landlord	to make sure the tenant is happy.
oWant	PersonX gets PersonX's mom	to help them
oWant	PersonX knocks the living daylights out of ___	to clean up.
oWant	PersonX plays ___ with PersonX's friend	Happy
oWant	PersonX understands PersonY's ___ well	receive help
oWant	PersonX converts ___ to energy	to praise the findings
oWant	PersonX pushes PersonY back	to watch television
oWant	PersonX raises PersonY's head	to be compliant
oWant	PersonX throws PersonY into prison	to threaten PersonX
oWant	PersonX looks ___ in the eye	to run away
oWant	PersonX calls PersonY later	to see him soon
oWant	PersonX tows the car	to get it fixed
oWant	PersonX shows it to PersonY's parents	ask questions
oWant	PersonX offers to tutor PersonY	thank them
oWant	PersonX publishes another ___	to read the next book in the series
oWant	PersonX gives PersonY's kids ___	To thank PersonX
oWant	PersonX secures PersonY's release	to ask PersonX to give them a gun
oWant	PersonX wants to see the world	to prepare to travel
oWant	PersonX gets PersonY's wallet back	to display their gratitude to PersonX
oWant	PersonX builds PersonY's houses	to use PersonX for future projects
oWant	PersonX takes PersonY to the animal shelter	a new puppy
oWant	PersonX eats all of PersonY's food	To eat food
oWant	PersonX tries to ignore PersonY	to apologize
oWant	PersonX is shopping one day	to purchase items
oWant	PersonX takes a second job	to put PersonX to work
oWant	PersonX rents a car	to give PersonX the keys
oWant	PersonX gives the kids	to support him
oWant	PersonX asks the students	to answer the question
oWant	PersonX serves PersonY apprenticeship	to test PersonX
oWant	PersonX invites ___ to the party	go home.
oWant	PersonX hurts PersonY's leg	to get medical attention
oWant	PersonX steals PersonY's money	to call the police
oWant	PersonX tears the ___ apart	to say they are welcome
oWant	PersonX helps PersonY's study	go ace the test or essay
oWant	PersonX checks ___ in the mirror	Tell them thank you.
oWant	PersonX forms PersonY image	gets happy
oWant	PersonX meets PersonY's teacher	talk to PersonX about PersonY's grades
oWant	PersonX brings home PersonY's ___	organize the books
oWant	PersonX has bad news	to cry
oWant	PersonX challenges PersonY's friends	to defend their behavior/opinions
oWant	PersonX gets PersonY a gift	to hug PersonX
oWant	PersonX challenges PersonY's friends	to take PersonX's challenge
oWant	PersonX joins PersonY later	to have dinner
oWant	PersonX brings together ___	to do more
oWant	PersonX has a green thumb	to  give him ideas
oWant	PersonX sends PersonY to summer camp	Get bitten by mosquitoes
