prefix	input_text	target_text
xWant	PersonX hits someone	to apologize
xReact	PersonX puts PersonY's son	safe
xNeed	PersonX looks for a dog to kick	to start walking
xEffect	PersonX sees ___ in PersonY's eyes	make it better
oWant	PersonX covers PersonX's ___ with PersonX's hands	to wonder why PersonX is naked
xIntent	PersonX runs across the street	to get somewhere fast
xReact	PersonX finds my way back	happy that they found my way back
xAttr	PersonX invites PersonY to a movie	social
xAttr	PersonX notices ___ on the counter	watchful
xEffect	PersonX goes to PersonX's friend 's house	festival invite so goto the house
xEffect	PersonX meets the ___ well	is given a second interview
xNeed	PersonX uses chopsticks	to find chopsticks
xNeed	PersonX wants to lose some weight	She got mad.
xAttr	PersonX listens to PersonY's music	interested
xIntent	PersonX plays PersonY role in the development	to have everything go smoothly.
xNeed	PersonX shifts gears	understand how to shift gears
xAttr	PersonX notices at first	curious
xIntent	PersonX goes and buy	something for themselves
xAttr	PersonX supplies PersonX's wants	understandable
xAttr	PersonX squeezes PersonY hand	calm
xEffect	PersonX finds PersonY's hotel	is asked for ID by the clerk
xReact	PersonX prevents PersonY from reaching	good
xEffect	PersonX bears PersonY's share	Becomes responsible
oReact	PersonX pleases PersonX's father	happy
xNeed	PersonX is running late for school	forget something at home
oWant	PersonX drives home from work one ___	to see PersonX.
xWant	PersonX gets ___ for school	to go to class
xIntent	PersonX is riding PersonX's bicycle	to (be)
xAttr	PersonX walks around downtown	lazy
xNeed	PersonX enters PersonX's father 's ___	to have been called by father
xReact	PersonX runs for cover	safe
oWant	PersonX gets ready	to meet with PersonX
xIntent	PersonX gets a hot dog	to eat it
xNeed	PersonX buys my ticket	to meet me
xReact	PersonX gets ___ later	patient
xNeed	PersonX leads PersonY by the hand	to be able to help them
oWant	PersonX makes the first move	to show interest
oEffect	PersonX places PersonY on the throne	worshiped
xWant	PersonX determines a person 's ___	date the person
xReact	PersonX looks in the fridge	curious
xReact	PersonX fixes PersonY's wagon	strong
oEffect	PersonX puts PersonY's ___ in PersonX's pocket	feels something bad
xAttr	PersonX tells all of PersonY's friends	reactive
xIntent	PersonX gets all PersonY's friends	to make a surprise birthday part for persony
xWant	PersonX finds the perfect spot	to rest there
xNeed	PersonX gains ___ rapidly	to start eating lots of protein
xNeed	PersonX sends ___ abroad	earn more money
xWant	PersonX really hurt PersonY	to avoid PersonY at all costs
xReact	PersonX shoots oneself in the foot	stupid
xIntent	PersonX hides the ___ in PersonX's voice	to be courteous
oEffect	PersonX gives ___ a raise	smiles
oWant	PersonX sees PersonZ's friend PersonY	go for an outing
xEffect	PersonX wears ___ more often	walks on a runway
oEffect	PersonX hurts PersonY's arm	Cries out
oEffect	PersonX gives PersonY a knowledge	Finds things to be easier
xNeed	PersonX is playing outside	on summer vacation
xWant	PersonX gets into a car accident	to talk to a lawyer
xNeed	PersonX is playing tennis	be at a court
xNeed	PersonX wears makeup	put on make up
xReact	PersonX works even harder	exhausted
xReact	PersonX drinks more water	satisfied
xWant	PersonX travels ___ to reach	Say hi to his friends.
xIntent	PersonX counts every ___	to save there cents for a vacation.
oEffect	PersonX develops PersonY model	is stereotyped
xAttr	PersonX forgets PersonY's sunscreen	absentminded
oReact	PersonX feels alone	worried
xEffect	PersonX draws PersonY away	can have discussion
xAttr	PersonX kills PersonY's father	agressive
xAttr	PersonX finishes PersonY's song	creative
xNeed	PersonX tells PersonY PersonX's story	to call personY
xAttr	PersonX sits on it	relaxed
oWant	PersonX rides the big roller coaster	to congratulate X on fb
xReact	PersonX plays ___ one day	refreshed
xWant	PersonX cites chapter and verse	assign homework
xAttr	PersonX tells ___ at school	friendly
xAttr	PersonX drops the f-bomb	powerful
oEffect	PersonX has the floor	people stand up and give an ovation to the person's speech
oEffect	PersonX puts PersonY's money	person y can't find their money
xWant	PersonX plays a gig	to go home
oReact	PersonX sings PersonY's songs	copied at
oWant	PersonX makes it extra special	to get more
xReact	PersonX grabs a glass	indifferent
xNeed	PersonX takes PersonY 's hand	to have planned proposal
xNeed	PersonX gives PersonY space	Needs to be around PersonY
xReact	PersonX finally found it	happy
xWant	PersonX jumps down PersonY's throat	to apologize
xNeed	PersonX goes and got ___	a car
xIntent	PersonX has to go to the bathroom	to relieve themselve
oReact	PersonX claps PersonY on the back	relief
xWant	PersonX calls PersonY mother	to talk with Person's mother
oWant	PersonX prevents ___ from getting	complain
oEffect	PersonX gives ___ to PersonX's brother	get the flu from their sibling
oEffect	PersonX determines the ___ by means	HAPPY
xAttr	PersonX lets PersonY die	thoughtless
oEffect	PersonX cuts my hair	i admire my new look
