prefix	input_text	target_text
other	PersonX really needed ___	seek out needed item
other	PersonX is at the beach with friends	to go to a restaurant
other	PersonX grabs PersonY's bags	call the cops
other	PersonX joins the track team	to attend meets
other	PersonX takes PersonX's truck	runs out of gas
other	PersonX goes to the beach with PersonY's family	enjoyable
other	PersonX wants to improve PersonX's health	physically healthier.
other	PersonX searches for hours	they are sure they have done their best
other	PersonX runs late for school	to scold PersonX
other	PersonX comes ___ on leave	pack his belongings
other	PersonX loses PersonX's ___ for PersonY sake	grateful
other	PersonX waters PersonY's lawn	notices cut grass
other	PersonX stops going to the gym	buy home equipment
other	PersonX never wore ___	cowboy boots
other	PersonX calls roadside assistance	to be lost
other	PersonX meets society 's ___	pride
other	PersonX speaks PersonY language	impressed
other	PersonX conducts ___ to determine	to look at the paperwork
other	PersonX throws ___ to the winds	to prevent it from happening
other	PersonX pays PersonX's fees	to do the right thing
other	PersonX climbs the mountain	adventurous
other	PersonX does drugs	high
other	PersonX goes to the zoo with PersonX's family	see interesting things.
other	PersonX likes sports	To buy sports shoes
other	PersonX talks for PersonY hour	PersonX bonds with PersonY
other	PersonX takes a taxi	Gets lost
other	PersonX lands on the floor	Be standing or sitting on something on the floor
other	PersonX effects PersonY entrance	entrancing
other	PersonX is the best in the class	superior
other	PersonX makes PersonY's way out	hears outside noises
other	PersonX lets PersonY alone	bad, unsatisfied
other	PersonX has a best friend	to treat PersonX well
other	PersonX holds ___ in the church	assumes responsibility
other	PersonX gives PersonY PersonX's attention	closer to personx
other	PersonX makes money	determined
other	PersonX casts ___ into the water	TAKE A BOOK
other	PersonX straddles PersonY's hips	aroused.
other	PersonX seizes PersonY by the arm	break away
other	PersonX breaks PersonY's foot	in pain
other	PersonX mistakes PersonY's ___ for a hat	PersonY laughs
other	PersonX forgets oneself	loses experience
other	PersonX provides PersonY overview	person y thanks person x
other	PersonX always stayed	not like to go out
other	PersonX is too drunk to drive	gets arrested
other	PersonX knows how to use it	Watch them carefully.
other	PersonX walks to PersonX's desk	engaged
other	PersonX rises every ___	looks great
other	PersonX calls ___ last night	hangs up phone
other	PersonX treats PersonY with respect	respectful
other	PersonX flies out of the traps	get caught
other	PersonX receives ___ alone	to go to a hospital
other	PersonX checks into PersonY's hotel	pleased
other	PersonX buys a new home	furnishes the home
other	PersonX wins 1st place	to celebrate
other	PersonX talks to PersonY's husband	call PersonY's husband
other	PersonX makes lasagna	hungry
other	PersonX needs stitches	takes care of personX
other	PersonX walks in PersonY's house	to make plans
other	PersonX sees PersonY's doctor	happy
other	PersonX dreams last night	to think about the dream
other	PersonX kicks the tires	check for leaks
other	PersonX improves the patient 's ___	takes medicine
other	PersonX gets PersonY's lunch	thankful
other	PersonX goes to the animal shelter	Speak to PersonX about animals available for adoption
other	PersonX becomes very sad	TO FRANK
other	PersonX looks ___ up on the internet	to have an internet connection
other	PersonX reduces PersonY's risk	good
other	PersonX disposes towards PersonY	surprised
other	PersonX helps ___ in trouble	are saved by PersonX
other	PersonX takes the bus to work	happy
other	PersonX means much to PersonY	happy to have good relationship with x
other	PersonX becomes angry	punches someone
