0,1,2
target,prediction,input
xEffect,xEffect,PersonX comes ___ to dinner--PersonX falls asleep from tiredness of eating food
xEffect,xEffect,PersonX requires every ___--Gets nourishment
xEffect,xEffect,PersonX assumes another ___--THAT IS WORK
xEffect,xEffect,PersonX hears the ___ close--PersonX quietly walks towards the door
xEffect,xEffect,PersonX laughs every ___--PersonX chest opens
xEffect,xEffect,PersonX laughs every ___--PersonX's head drops back
xEffect,xEffect,PersonX shakes PersonX's ___ in disbelief--eyes widen
xEffect,xEffect,PersonX understands PersonY's ___ better--PersonX smiles sympathetically at peronY
xEffect,xEffect,PersonX loses ___ of time--Person x needs to hurry
xEffect,xEffect,PersonX pulls the ___ over PersonX's eyes--PersonX loses the ability to see.
xEffect,xEffect,PersonX comes ___ at night--PersonX goes to sleep
xEffect,xEffect,PersonX spends ___ in bed--muscles become weak
xEffect,xEffect,PersonX adopts every ___--Gets all options
xEffect,xEffect,PersonX adopts every ___--Must make right choice
xEffect,xEffect,PersonX spends the ___ trying--sweats
xEffect,xEffect,PersonX keeps PersonX's ___ in check--X is on edge
xEffect,xEffect,PersonX raises ___ from sources--PersonX makes capital
xEffect,xEffect,PersonX needs ___ to talk--PersonX is brimming with excitment
xEffect,xEffect,PersonX needs ___ to talk--PersonX can't keep a secret
xEffect,xEffect,PersonX sets the ___ on fire--PersonX has lung damage
xEffect,xEffect,PersonX comes ___ that night--Person x lies down in owns bed
xEffect,xEffect,PersonX works hard all ___--Takes a vacation
xEffect,xEffect,PersonX prevents ___ from occurring--PersonX gets clean from contamination
xEffect,xEffect,PersonX fights PersonX's battle--PersonX gets beaten up.
xEffect,xEffect,PersonX takes into account the fact--PersonX squints their eyes in curiosity
xEffect,xEffect,PersonX reaches PersonX's house--They sit down and relax
xEffect,xEffect,PersonX accepts PersonY invitation--PersonX buys a gift for PersonY
xEffect,xEffect,PersonX runs for PersonX's life--'s heart beats rapidly
xEffect,xEffect,PersonX accepts PersonY's invitation--learns date and time of event
xEffect,xEffect,PersonX accepts PersonY's invitation--Person X attends event
xEffect,xEffect,PersonX accepts PersonY's invitation--PersonX feels included
xEffect,xEffect,PersonX works hard to get--sweats
xEffect,xEffect,PersonX receives PersonY invitation--person x accepts invitation
xEffect,xEffect,PersonX receives PersonY invitation--person x has to prepare for event
xEffect,xEffect,PersonX receives PersonY invitation--They go to the event.
xEffect,xEffect,PersonX receives PersonY invitation--They have a good time.
xEffect,xEffect,PersonX receives PersonY invitation--PersonX smiles
xEffect,xEffect,PersonX receives PersonY invitation--PersonX holds onto invitation
xEffect,xEffect,PersonX develops PersonX's talents--Gets a promotion
xEffect,xEffect,PersonX eats PersonX's bread--PersonX is less hungry
xEffect,xEffect,PersonX eats PersonX's bread--PersonX becomes thirsty
xEffect,xEffect,PersonX eats PersonX's bread--PersonX's teeth get dirty/need brushing
xEffect,xEffect,PersonX accepts PersonY offer--Person X marks the offer on his calendar
xEffect,xEffect,PersonX accepts PersonY offer--Person X thanks person Y
xEffect,xEffect,PersonX accepts PersonY offer--PersonX joins the company
xEffect,xEffect,PersonX accepts PersonY offer--PersonX accepts a new job
xEffect,xEffect,PersonX works hard to make--PersonX sweats from hard work
xEffect,xEffect,PersonX works hard to make--PersonX's back becomes sore
xEffect,xEffect,PersonX loves PersonY's neighbor--PersonX blushes
xEffect,xEffect,PersonX makes PersonX's peace--PersonX is left alone.
xEffect,xEffect,PersonX mourns PersonY's loss--PersonX weeps
xEffect,xEffect,PersonX mourns PersonY's loss--PersonX gnashes their teeth
xEffect,xEffect,PersonX reaches PersonY's height--Person X has to buy new pants.
xEffect,xEffect,PersonX enhances PersonX's ability--PersonX gains marketable skills
xEffect,xEffect,PersonX enhances PersonX's ability--PersonX learns new things
xEffect,xEffect,PersonX divides PersonX's time--Gets all tasks done
xEffect,xEffect,PersonX takes off PersonX's coat--PersonX's hair prickle up
xEffect,xEffect,PersonX sees PersonY opportunity--PersonX stumbles into a big payday
xEffect,xEffect,PersonX sees PersonY opportunity--PersonX gets lucky
xEffect,xEffect,PersonX quits smoking cigarettes--PersonX's blood pressure is reduced
xEffect,xEffect,PersonX starts a new job--they meet new people
xEffect,xEffect,PersonX starts a new job--they learn new skills
xEffect,xEffect,PersonX starts a new job--sweats
xEffect,xEffect,PersonX starts a new job--Earns more money
xEffect,xEffect,PersonX faces PersonY's fear--PersonX stands up to PersonY
xEffect,xEffect,PersonX faces PersonY's fear--PersonX refuses to be intimidated
xEffect,xEffect,PersonX goes apple picking--Person X gets sunburn.
xEffect,xEffect,PersonX looks up ___ online--eyes are fatigued
xEffect,xEffect,PersonX looks up ___ online--PersonX gains knowledge of Nigerian cuisine
xEffect,xEffect,PersonX looks up ___ online--PersonX gains knowledge of the best southern recipes.
xEffect,xEffect,PersonX calls PersonY's boss--He has to form sentences and communicate
xEffect,xEffect,PersonX eats ice cream--blood sugar spikes
xEffect,xEffect,PersonX takes ___ out to dinner--PersonX's stomach hurts from food
xEffect,xEffect,PersonX accepts PersonY's offer--shakes hands
xEffect,xEffect,PersonX works every day--PersonX develops a habit
xEffect,xEffect,PersonX starts high school--The person starts to learn new ideas.
xEffect,xEffect,PersonX starts high school--meets new friends
xEffect,xEffect,PersonX makes PersonY mad--PersonX sees red
xEffect,xEffect,PersonX spends too much time--PersonX procrastinates
xEffect,xEffect,PersonX later told PersonY--Person X feels relieved
xEffect,xEffect,PersonX wrings PersonY's hands--PersonX experiences worry
xEffect,xEffect,PersonX wrings PersonY's hands--PersonX experiences anxiety
xEffect,xEffect,PersonX has a really great time--PersonX laughs in excitement
xEffect,xEffect,PersonX starts a new life--makes new friends
xEffect,xEffect,PersonX knows yet why PersonY died--personX cries with guilt
xEffect,xEffect,PersonX trails PersonY's fingers--PersonX gets a frisson
xEffect,xEffect,PersonX trails PersonY's fingers--PersonX gets tickled
xEffect,xEffect,PersonX looks at one another--PersonX hears noises
xEffect,xEffect,PersonX hands ___ back to PersonY--Person x can no longer utilize item
xEffect,xEffect,PersonX glances around the room--PersonX sweats from nervousness
xEffect,xEffect,PersonX glances around the room--PersonX's lip quiver
xEffect,xEffect,PersonX wraps ___ around waist--PersonX gains an errection
xEffect,xEffect,PersonX undoes PersonY's pants--PersonX frown after being hit with an unpleasant smell.
xEffect,xEffect,PersonX checks out my two newest creations--PersonX admires the creations
xEffect,xEffect,PersonX drinks lots of water--cramps
xEffect,xEffect,PersonX runs around the house--PersonX's heart rate goes up
xEffect,xEffect,PersonX runs around the house--PersonX sweats from running around the house
xEffect,xEffect,PersonX eats dinner with PersonY--PersonX feels full.
xEffect,xEffect,PersonX goes begging--PersonX grabs their chest in pain from being pushed over
xEffect,xEffect,PersonX drags PersonX's feet--PersonX's feet throb
xEffect,xEffect,PersonX gets PersonX's marching orders--PersonX takes orders.
xEffect,xEffect,PersonX gets PersonX's marching orders--PersonX is put in their place.
xEffect,xEffect,PersonX gets PersonX's marching orders--they get to work
xEffect,xEffect,PersonX gets PersonX's marching orders--they get the job done
xEffect,xEffect,PersonX scares out of PersonX's wits--PersonX jumps back in fear
xEffect,xEffect,PersonX goes to sea--PersonX has to maintain his sailboat while out at sea
xEffect,xEffect,PersonX gets the point--personX integrates their new understanding
xEffect,xEffect,PersonX makes beautiful music together--PersonX tears up from being overwhelmed with joy
xEffect,xEffect,PersonX rips to shreds--PersonX gains muscle and loses fat
xEffect,xEffect,PersonX sets PersonX's sights on ___--PersonX becomes determined and focused
xEffect,xEffect,PersonX looks down PersonX's shirt--PersonX adjusts their clothing
xEffect,xEffect,PersonX hems and haw--PersonX questions their decision
xEffect,xEffect,PersonX exposes oneself--Person x trembles
xEffect,xEffect,PersonX loses PersonX's shirt--he has to find another shirt to wear
