input_text	target_text	score	type	prefix
PersonX be there	PersonY be mrs. randall	0.6690646409988403	new	oWant
PersonX have cry night	PersonY child be as reserve	0.5705782771110535	new	oEffect
PersonX go to chief	PersonX get worried	0.6562954783439636	new	xWant
PersonX take PersonY	PersonY get away	0.8056378364562988	head	oReact
they be all helpful	PersonY be hot	0.6955002546310425	tail	oReact
PersonX want PersonY	PersonY be my business	0.77960604429245	head	oReact
it be fine	PersonY be my opinion	0.5560547709465027	new	oReact
PersonX sit by PersonY	PersonY be dead	0.6939622759819031	tail	oReact
PersonX go back to sleep	PersonX didnt believe he	0.7802295088768005	head	xIntent
PersonX be the cook	PersonX will be ashamed	0.7440208792686462	new	xReact
PersonX rub PersonX eye	PersonX be old	0.8731213808059692	head	xIntent
they stop suddenly	PersonY door bell ring	0.7813917994499207	new	oWant
that be wayyyyyy over top	PersonY order the cheesecake desert	0.5132678747177124	new	oEffect
PersonX turn a profit	PersonX be a staunch atheist	0.9891425967216492	head	xAttr
PersonX pay my debt	PersonX be sorry	0.9169952273368835	head	xReact
PersonX play football in school	PersonY be ask	0.7985147833824158	head	oReact
PersonX can see	PersonY smoothie be really fresh	0.699297308921814	new	oEffect
PersonX would have go	PersonX have keep	0.8340457081794739	new	xIntent
PersonX will give snack too	PersonX will provide you with alcohol too	0.5402722358703613	new	xEffect
PersonX go back	PersonX get they	0.5817326307296753	head	xWant
PersonX go to america	PersonY shouldn t wonder	0.7265852093696594	new	oWant
PersonX write a note	PersonX ll come along	0.8788975477218628	head	xWant
PersonX be old	PersonX could make a novel	0.8317140340805054	head	xEffect
this be a duty	PersonY go again	0.923130750656128	tail	oWant
PersonX be old	PersonX be handsome	0.9358201026916504	head	xAttr
PersonX try to get away	PersonY collar PersonX	0.5780572891235352	new	oEffect
PersonX heart be beat steadily	PersonX have perfect control of himself	0.6348458528518677	new	xWant
PersonX move to city	PersonX be adorable	0.8345872163772583	head	xReact
PersonX wake up	PersonX be piss	0.8800433278083801	head	xWant
PersonX get the boot	PersonX be military	0.8957508206367493	head	xAttr
PersonX take PersonY	PersonY die of consumption	0.5430757999420166	head	oEffect
PersonX be PersonY wife	PersonY be wait a long time	0.6738799810409546	new	oEffect
PersonX really like PersonY	PersonX have be twice now	0.6761369705200195	head	xEffect
PersonX be at summer camp	PersonX have hear	0.7385177016258241	head	xReact
PersonX need PersonY help	PersonY always pick up	0.9068343043327332	head	oWant
PersonX be famous	PersonY be interested	0.7678908705711365	tail	oReact
the mist of passion have pass from eye now	PersonY see she	0.8858711719512941	tail	oWant
PersonX be not overweight	PersonX exercise regularly	0.8089986443519592	tail	xNeed
PersonX shake PersonX head	PersonX temper have grow greedy with accumulation	0.8591499924659729	head	xReact
PersonX take PersonY hand	PersonY be you friend	0.9917804598808287	head	oReact
PersonX eat nothing	PersonX leg be break	0.6408369541168213	head	xReact
PersonX be old	PersonX have not be a kid	0.9664838314056396	head	xWant
that be usually more than enough	PersonY we split	0.5918933153152466	new	oWant
PersonX love my husband	PersonX treat he with respect	0.8182530999183655	new	xWant
PersonX try to help myself	PersonX can not afford therapy	0.5445408821105957	new	xNeed
PersonX try to blame PersonY	PersonX will admit	0.6336902976036072	new	xEffect
PersonX have be sit here for minute	PersonY be 3 car of PersonX	0.8903741240501404	new	oEffect
PersonX be super rude	PersonX be mad	0.9399266839027404	tail	xAttr
PersonX be sure	PersonY be go to have	0.565867006778717	new	oEffect
PersonX come close	PersonY come here	0.725955605506897	new	oReact
there be a high demand	PersonY be labor day weekend	0.6247480511665344	new	oEffect
PersonX get it	PersonX will not be happy	0.5179114937782288	head	xNeed
spoil be fairly sell	PersonY be for a party	0.7681164145469666	new	oEffect
PersonX pick PersonY up	PersonY one have a answer	0.7531058192253113	head	oEffect
PersonX make it	PersonX try to distance himself from remark	0.7037383913993835	head	xEffect
PersonX be so cool about it	PersonY have a friend	0.7827903032302856	new	oEffect
PersonX would like one	PersonX get it	0.8724332451820374	tail	xEffect
PersonX remain in state	PersonX be old	0.8326370120048523	tail	xReact
PersonX may have miss	PersonX might go back	0.5538982748985289	new	xWant
PersonX will hear	PersonY be kneel at foot	0.7621949911117554	new	oEffect
PersonX take PersonY	PersonY go there	0.776930570602417	head	oReact
PersonX get in way	PersonX remember about they	0.6348711252212524	head	xIntent
PersonX answer PersonY question	PersonY have hear	0.8307681083679199	head	oEffect
PersonX lip be part	PersonX eye be close	0.5868884325027466	new	xNeed
PersonX run fast	PersonX be glad	0.7822949886322021	head	xAttr
PersonX look PersonY in eye	PersonX have see	0.8913004398345947	head	xAttr
PersonX invite everyone	PersonX be uncool	0.9480403661727904	head	xAttr
one of actor space	PersonY be shoot this webisode	0.5620608329772949	new	oEffect
PersonX give PersonY	PersonY be a man	0.8750666975975037	head	oWant
PersonX live alone	PersonY be sad	0.6689790487289429	tail	oReact
PersonX get brace	PersonX be wrong	0.9515112638473512	head	xNeed
PersonX be pay	PersonY almost kill PersonX	0.6848993301391602	new	oEffect
PersonX have already place the order	PersonY want to leave immediately	0.9405569434165956	new	oEffect
all dry up	PersonY be not a drop of water	0.8283204436302185	new	oEffect
PersonX be old	PersonX wake up one day	0.8688814640045166	head	xWant
PersonX will not be put on hold	PersonX be on hold	0.8975270390510559	tail	xReact
it be too sweet	PersonY tea be good	0.6157957315444946	new	oReact
PersonX reach home	PersonY be busy	0.6141757965087891	tail	oReact
PersonX like music	PersonX be confuse	0.8722532987594604	head	xReact
PersonX give PersonY	PersonY guy be here	0.783045768737793	head	oWant
PersonX have a craving for sushi	PersonX be in cleveland on business	0.5404794812202454	new	xAttr
we be fond of PersonX	PersonY be not in jail	0.6436129808425903	new	oEffect
PersonX be old	PersonX can not tie my shoe	0.7209030389785767	head	xEffect
PersonX take PersonX away	PersonY be mad at PersonX	0.7797985672950745	head	oEffect
PersonX hit PersonY	PersonY rest of gang can come	0.8510198593139648	head	oWant
PersonX try maybe	PersonX find they	0.7322795987129211	tail	xWant
PersonX give PersonY a ride	PersonX buy a groupon	0.8071196675300598	head	xNeed
PersonX inflammatory eloquence keep the town council on side	PersonX be present at meeting	0.6032122373580933	new	xWant
PersonX wait 20 min	PersonY get it	0.8992363214492798	tail	oWant
PersonX don t care	PersonX have a camera	0.96595299243927	tail	xNeed
PersonX burn the cat at midnight	PersonX put they together	0.8725504279136658	tail	xIntent
PersonX be look for place to stay with amenity	PersonY be late at night	0.5830354690551758	new	oWant
PersonX be lazy	PersonX denial mean nothing	0.6177308559417725	new	xEffect
PersonX go to store	PersonX be hungry day	0.8977518081665039	head	xReact
they way lay through wood	PersonY temptation can not be resist	0.6132262945175171	new	oEffect
PersonX love PersonY	PersonY remember PersonX	0.7319225072860718	head	oWant
PersonX will need a little time	PersonY be so important	0.5378197431564331	new	oEffect
PersonX be old	PersonX be still together	0.8502100706100464	head	xEffect
PersonX could not avoid it	PersonY party be now in hot blood	0.5248965620994568	new	oWant
PersonX will all be in the front row	PersonY be go to be a great spectacle	0.6893295049667358	new	oReact
PersonX own the snooker hall in 2008	PersonX sell it	0.8788023591041565	tail	xWant
it be a buffet	PersonY be sad	0.9394492506980896	tail	oWant
