prefix	input_text	target_text
other	PersonX builds PersonY's nest	check out the nest
other	PersonX puts the ___ into practice	to abide by PersonX's rules
other	PersonX eventually ran	to save him
other	PersonX takes a turn	happy
other	PersonX spends ___ in the woods	lazy
other	PersonX talks to a friend	happy
other	PersonX supports PersonY's view	PersonY thinks highly of PerosnX
other	PersonX meets people 's ___	satisfied
other	PersonX meets PersonY's friend	gets jealous
other	PersonX asks the question	helpful
other	PersonX has no idea where to start	to analyze something
other	PersonX teaches PersonX's daughter	They bill person x for the tutition time.
other	PersonX grabs a bite to eat	salivates
other	PersonX eats pork	to eat pork on sunday
other	PersonX pays ___ in class	to concentrate more
other	PersonX throws a fit	to be understood
other	PersonX takes a dim view of ___	cautious
other	PersonX reads the book	to be more knowledgable
other	PersonX stands the ___ longer	rewarded
other	PersonX tells the students	got direction
other	PersonX sets PersonY ___ at rest	slightly less sad
other	PersonX means everything to PersonY	runs away
other	PersonX takes sides	good
other	PersonX makes ___ one day	to meet new people
other	PersonX braids PersonX's hair	gets braided hair
other	PersonX is almost late	for the work to be done
other	PersonX becomes PersonY's president	Loses health benefits
other	PersonX makes oatmeal	tired
other	PersonX never gave	sad
other	PersonX works within the system	safe
other	PersonX gets a loan	to be able to pay for things
other	PersonX goes sailing	See  places
other	PersonX asks PersonY to return	lonely
other	PersonX takes ___ to the city	is on time to work
other	PersonX covers PersonY's face	cannot see
other	PersonX supports PersonY's families	receives thanks
other	PersonX invites friends	to be with companions
other	PersonX makes money online	proud
other	PersonX rushes to the er	scared
other	PersonX lays next to PersonY	has intercourse
other	PersonX forgets oneself	loses experience
other	PersonX adds water	satisfied
other	PersonX changes PersonX's hairstyle	to get a new look
other	PersonX wants to go to the doctor	unwell
other	PersonX builds PersonY a house	It's blueprints
other	PersonX walks to PersonX's desk	engaged
other	PersonX buys snacks	to eat.
other	PersonX calls all PersonX's friends	gets his call rejected
other	PersonX takes advantage of PersonY	regretful
other	PersonX does PersonX's hair and makeup	accoplished
other	PersonX greets PersonY with a smile	welcoming
other	PersonX ties PersonY's hands	gets bag on head
other	PersonX dances with PersonY's friends	entertained
other	PersonX hops in the car	productive
other	PersonX saves PersonY life	Lives longer
other	PersonX shows everyone	to know what he wants to show
other	PersonX exercises PersonX's rights	Proud
other	PersonX helps PersonY's mom	to see what's wrong with Y's mom
other	PersonX makes the football team	People make new friends
other	PersonX talks about PersonY's relationship	informed
other	PersonX appreciates fully the ___	loved
other	PersonX keeps winning	unhappy
other	PersonX loses interest	bored
other	PersonX helps PersonY study	skilled
other	PersonX boos PersonY off the stage	sad
other	PersonX gilds the lily	flamboyant
other	PersonX asks the waitress	Gets food
other	PersonX applies to college	gets accepted
other	PersonX rents a room	Anxious
other	PersonX drives to las vegas	to get in the car
other	PersonX goes to my friend 's house	sociable
other	PersonX lives near PersonY	to be good neighbors
other	PersonX is driving PersonX's car	drive
other	PersonX calls to the bar	to hang up
other	PersonX changes PersonY's views	Call him everyday.
other	PersonX paints something	paint
other	PersonX drinks a lot of water	relieved
other	PersonX imposes PersonX's ___ on others	mean
other	PersonX buys two more	impressed
other	PersonX serves PersonX's ends	happy and proud
other	PersonX puts a lid on it	to give them a look
other	PersonX sheds ___ on the question	educated
other	PersonX gets the better of PersonY	angry
other	PersonX protects PersonX's property	yell out
other	PersonX helps people	kind
other	PersonX loves ___ anyway	Forgiving
other	PersonX finds PersonY's class	to talk to PersonX
other	PersonX faces PersonY's fears	to feel safe
other	PersonX rushes to PersonY's side	Loses breath
other	PersonX persuades ___ to vote	motivated
other	PersonX sells PersonX's ___ in the market	to pay PersonX
other	PersonX hits the snooze button	alarm clock
other	PersonX holds PersonY's close	to cuddle
other	PersonX plays soccer ___	quick
other	PersonX watches movies ___	go out
other	PersonX works for months	to save money
other	PersonX turns PersonX's ___ to look	will be happy to see X.
other	PersonX prepares for PersonX's reception	very happy.
other	PersonX tells PersonY had died	is taken aback
other	PersonX adapts to PersonY's environment	becomes more flexible
other	PersonX persuades ___ to buy	informed
other	PersonX takes PersonY's cat to the vet	to get it medical treatment
other	PersonX wants to meet PersonY	to accept the invitation
other	PersonX pushes PersonY back	To hit him
other	PersonX walks down the hall	get ready to walk
other	PersonX impresses PersonY's boyfriend	PersonY loses boyfriend to PersonX
other	PersonX drives deep inside PersonY	passionate
other	PersonX buys flowers	money
other	PersonX goes pee	normal
other	PersonX closes PersonX's doors	to keep out the draft
other	PersonX follows every ___	find out something
other	PersonX chases the ___ away	relieved
other	PersonX plays a game of chess	to have fun
other	PersonX leads nowhere	unworthy
other	PersonX keeps it as a pet	to satisfy his kid
other	PersonX decorates for christmas	an appealing environment
other	PersonX fixes the problem	can sleep again
other	PersonX plays the race card	to enjoy the card game
other	PersonX leads to PersonY increase	important
other	PersonX comprehends every ___	they learn from him
other	PersonX draws attention to the fact	ignore the person
other	PersonX eats or drink	to have something to drink
other	PersonX is extremely disappointed	guilty
other	PersonX cooks ___ for dinner	to practice cooking
other	PersonX tells PersonX's son	Becomes enraged
other	PersonX has eyes bigger than PersonX's belly	Gluttonous
other	PersonX takes PersonX's position	to be prepared
other	PersonX puts all PersonX's eggs in PersonX basket	establishes solidarity.
other	PersonX puts ___ on the floor	hardworking
other	PersonX loves the song	satisfied
other	PersonX lets PersonY leave	goes to a party
other	PersonX finds something to do	industrious
other	PersonX saves up enough money	loses track of it
other	PersonX shows PersonY inclination	Helps
other	PersonX keeps PersonX's jobs	waiting for result
other	PersonX prevents ___ from acquiring	annoyed that they are neglected.
other	PersonX buys flowers	enjoy the gift
other	PersonX tries and get PersonY	thoughtful
other	PersonX gives PersonY presents	grateful
other	PersonX feels glad	satisfied
other	PersonX frightens away ___	afraid
other	PersonX invites PersonX's friend over	happy
other	PersonX puts PersonY away	angry
other	PersonX makes ___ dinner	see it wonderfull
other	PersonX takes ___ to the lake	to get in the car
other	PersonX improves PersonX's game	happy
other	PersonX affords college	hopefully will be supportive
other	PersonX gets PersonX's keys	to drive home for food
other	PersonX is PersonY's prom date	to attend prom
other	PersonX rings PersonX's bell	bothered
other	PersonX sleeps late	tired and weary
other	PersonX goes swimming instead	to relax his muscles
other	PersonX buys ___ as a pet	to have a companion
other	PersonX makes PersonY stop	cries
other	PersonX joins the army	to thank them
other	PersonX runs PersonY ragged	gets sweaty
other	PersonX listens to PersonY's parents	glad
other	PersonX gives PersonY an interview	to accept an application
other	PersonX takes PersonX's date	to enjoy themselves
other	PersonX keeps PersonX's hair on	repressed
other	PersonX decides to go on a road trip	to get away
other	PersonX makes PersonY assumptions	to express their mind
other	PersonX eats it anyway	to satisfy their hunger
other	PersonX fixes PersonY's flat tire	PersonY's tire is fixed
other	PersonX engages in PersonY activity	develops a bond
other	PersonX leaves PersonY's toys	sad
other	PersonX enjoys ___ at home	gets rested
other	PersonX knows what PersonY wanted	Person Y accepted the gift anf thanked X.
other	PersonX offered PersonY one	friendly
other	PersonX drives PersonY around	gets slightly exhausted
other	PersonX finishes PersonY's hike	to get some rest
other	PersonX offers PersonY a position	Accepts the position
other	PersonX stuffs the ballot box	a great sense of loss
other	PersonX plays chess with PersonY	play a game
other	PersonX fights fire with fire	to interact with someone
other	PersonX decides to get one	to see one for sale
other	PersonX reaches out PersonY's hand	gets his hand grabbed by personx
other	PersonX gives PersonX's candy	grateful
other	PersonX sends PersonX's son	unhappy and anxiety because of independent
other	PersonX gets PersonY answer	curious
other	PersonX meets PersonY's mother	is surprised
other	PersonX is going to have a baby	joyed
other	PersonX puts it back on	looks in mirror
other	PersonX puts ___ behind PersonY	walk over to PersonY
other	PersonX deals with PersonX's problems	independent
other	PersonX finds ___ in PersonY's closet	asks about it
other	PersonX leaves PersonY's body	personY gains control of their body
other	PersonX loves PersonY in return	Increase in dopamine in brain
other	PersonX uses the computer	curious
other	PersonX takes PersonY's back	to receive something from person Y
other	PersonX corners the market	to win in competition with PersonX
other	PersonX sends ___ to fight	to head off
other	PersonX goes ___ immediately	fast
other	PersonX walks across the stage	proud
other	PersonX wants to tell PersonY	to help him
other	PersonX rolls my eyes at PersonY	annoying
other	PersonX fights PersonX's way out	to get out of the way
other	PersonX begs PersonY's forgiveness	understood
other	PersonX hangs the picture	Gather a hammer.
other	PersonX makes PersonY better	secure
other	PersonX changes PersonY's opinion	powerful.
other	PersonX buys a new book	literate
other	PersonX stops going to the gym	buy home equipment
other	PersonX settles the ___ amicably	to move on with their life
other	PersonX never asked	calm
other	PersonX kisses PersonY's shoulder	to embrace PersonX
other	PersonX goes everywhere	to see new places.
other	PersonX sees ___ first	to be in a competition
other	PersonX lets go of PersonY's hand	sweat from hand
other	PersonX sets PersonY right	to be assertive
other	PersonX commits every ___	betrayed
other	PersonX looks all over the house	murmurs as he moves around
other	PersonX looks stupid	sympathy/empathy for person x
other	PersonX gets a new iphone	find a store selling the phone
other	PersonX develops PersonY understanding	is encouraged to learn more
other	PersonX gives PersonX's money	generous
other	PersonX makes PersonY act	embarrassed
