0,1,2
target,prediction,input
oEffect,xIntent,PersonX hardens pharaoh 's ___--The pharaoh screams in extraordinary pain
oEffect,xIntent,PersonX hardens pharaoh 's ___--The pharaoh dies
oEffect,xIntent,PersonX shuts PersonY's ___ to the fact--make a choice they otherwise wouldn't have made
oEffect,xIntent,PersonX shuts PersonY's ___ to the fact--ignore the fact
oEffect,xIntent,PersonX affects children 's ___--gets rewarded
oEffect,xIntent,PersonX affects children 's ___--none
oEffect,xIntent,PersonX affects children 's ___--none
oEffect,xIntent,PersonX improves PersonY's ___ as understood--none
oEffect,xIntent,PersonX believes every ___--may get hurt
oEffect,xIntent,PersonX believes every ___--may become angry
oEffect,xIntent,PersonX bears ___ unto the PersonY--person y runs away
oEffect,xIntent,PersonX turns the enemy 's ___--fight
oEffect,xIntent,PersonX lays PersonX's ___ upon PersonY--gets increased responsibility
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--make money on their stuff.
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--gain more space in home.
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--make money
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--get rid of something
oEffect,xIntent,PersonX holds PersonY's ___ in PersonX's hands--smiles
oEffect,xIntent,PersonX holds PersonY's ___ in PersonX's hands--gets protected
oEffect,xIntent,PersonX summarizes the ___ far--learn something
oEffect,xIntent,PersonX summarizes the ___ far--review something
oEffect,xIntent,PersonX teaches ___ to speak--get talked to by more people
oEffect,xIntent,PersonX teaches ___ to speak--has a conversation
oEffect,xIntent,PersonX resists ___ by force--Is knocked back
oEffect,xIntent,PersonX employs every ___--got job
oEffect,xIntent,PersonX employs every ___--manage family
oEffect,xIntent,PersonX employs every ___--earning money
oEffect,xIntent,PersonX employs every ___--doing work
oEffect,xIntent,PersonX turns PersonY's ___ to matters--shows appreciation
oEffect,xIntent,PersonX turns PersonY's ___ to matters--shows grati
oEffect,xIntent,PersonX uses ___ as possible--TO BE GREAT
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX puts PersonY ___ around PersonZ--smiles
oEffect,xIntent,PersonX understands PersonY's ___ better--got a raise
oEffect,xIntent,PersonX pays another ___--answers the door
oEffect,xIntent,PersonX pays another ___--has a conversation
oEffect,xIntent,PersonX saves PersonY's ___ from destruction--things stay safe
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX holds ___ for year--Economy grew
