prefix	input_text	target_text
other	PersonX regains PersonX's strength	to be a strong person
other	PersonX holds PersonY's gaze	loving
other	PersonX asks ___ for some help	Complete the task with help
other	PersonX comes to pick PersonY up	to spend time with person X
other	PersonX recovers back the ___	justice for a mistake
other	PersonX finally went	to go fishing
other	PersonX is really tired	lethargic
other	PersonX puts ___ in front	a hammer
other	PersonX gives PersonY information	to solve his problems
other	PersonX tightens PersonY's hold	to be released
other	PersonX buys PersonX's dress	to put the dress away
other	PersonX finds someone	to ignore PersonX
other	PersonX understands PersonY's position	to empathise with PersonY
other	PersonX saves PersonY's life	grateful
other	PersonX stretches PersonX's legs	Stiff
other	PersonX spends ___ with PersonX's families	pleased
other	PersonX goes beyond the scope	stubborn
other	PersonX needs to tell PersonY	to formulate what they want to say
other	PersonX starts school ___	wise.
other	PersonX solves PersonY's problem	helpful
other	PersonX washes PersonY's face	to go to bed
other	PersonX takes ___ together	to get a camera
other	PersonX plays great	teamworking
other	PersonX brushes PersonY's fingers	to tell the person off(if unwanted)
other	PersonX gets a new phone	to impress others
other	PersonX fees the kitten	to take care of his cat
other	PersonX raises the bar	to encourage others to succeed
other	PersonX hears a knock on PersonY's door	upset
other	PersonX becomes very famous	to watch personX perform
other	PersonX gets PersonX's first car	Get rides
other	PersonX sings and play	singing
other	PersonX marries PersonX's cousin	to meet person
other	PersonX tells PersonY's mom	to be mean
other	PersonX brings PersonY's hand up	controlled.
other	PersonX is covered in snow	awkward
other	PersonX eats PersonY's dust	awarded
other	PersonX tells PersonY's sister	the sister knows
other	PersonX tears PersonX's ___ away	sad
other	PersonX lays hands on ___	comforted
other	PersonX gives PersonY a treat	like a good person
other	PersonX drinks ___ instead	need to drive long
other	PersonX continues PersonX's education	to listen to the teacher
other	PersonX answers PersonY's ___ well	their mouth gapes open
other	PersonX schedules PersonY ___ to show	Set a remimder for the time
other	PersonX cries every night	to go to sleep
other	PersonX coordinates PersonY's efforts	to have permission to coordinate the efforts
other	PersonX becomes tired	run
other	PersonX scores a goal	to cheer person X
other	PersonX illustrates another ___	to illustrate something
other	PersonX takes the browns to the super bowl	play football
other	PersonX puts ___ aside	to eat something else
other	PersonX is at the gas station	content
other	PersonX turns ___ toward PersonY	to find PersonY
other	PersonX carefully selected ___	to open the gifts
other	PersonX seems friendly	can accomplish a task with PersonX
other	PersonX tells PersonY would take	to tell personX his opinion
other	PersonX drives ___ to the hospital	grateful
other	PersonX is happy with the results	satisfied
other	PersonX appreciates fully the ___	skilled
other	PersonX loves PersonX's ___ well	take pictures
other	PersonX drives ___ a point	to rest
other	PersonX gives the class ___	sighs
other	PersonX pays PersonY attention	to be like PersonY
other	PersonX plays kickball	put on kickball clothes
other	PersonX becomes very sad	TO FRANK
other	PersonX keeps drinking	enraged.
other	PersonX starts laughing	to share the joke
other	PersonX tells my mom	find my mom
other	PersonX helps ___ in trouble	are saved by PersonX
other	PersonX learns ___ every day	to keep trying
other	PersonX gets another job	good
other	PersonX makes a candle	melt the wax
other	PersonX makes people laugh	impressed
other	PersonX gets PersonX's first haircut	anxious
other	PersonX goes for the gold	like they did all they could
other	PersonX teaches PersonY so much	thankful
other	PersonX works sick	go to work
other	PersonX enters the building	curious
other	PersonX finds PersonX's way back home	to go home
other	PersonX opens fire	guilty
other	PersonX helps PersonY feel better	concerned.
other	PersonX gets new pants	PersonY becomes aroused at PersonX
other	PersonX receives ___ in the mail	worried
other	PersonX puts my arm around PersonY	to be in between myself and PersonY
other	PersonX kills PersonY's wife	terrible
other	PersonX takes ___ in the century	to work
other	PersonX accidentally hit ___	clumsy
other	PersonX smells bad	To put on deodorant
other	PersonX finishes school	educated
other	PersonX loses PersonY's money	goes to small claims court
other	PersonX kicks up PersonX's heels	worn out
other	PersonX asks PersonY's permission	determind
other	PersonX gets really sick	go to the doctor
other	PersonX arrives on time	they do their own work better
other	PersonX gets a pet	to choose a pet
other	PersonX changes PersonX's behavior	to be a better person
other	PersonX calls PersonY's attention	turns head
other	PersonX announces PersonY's intention	to speak aloud
other	PersonX is a fashion designer	to design
other	PersonX finds what PersonY was looking for	happy
other	PersonX pulls out PersonY's cell phone	controlled
other	PersonX sells PersonX's old car	buy a new car
other	PersonX finds an email	glad they read the email.
other	PersonX saves a lot of money	cautious
other	PersonX wants PersonY answer	to of waited a long time
other	PersonX gives PersonY the chance	grateful
other	PersonX makes ___ for a living	to buy raw materials to make something for a living
other	PersonX hears PersonY's father 's ___	to get away from PersonY's father
other	PersonX tells tom	to react to situation
other	PersonX finally called	to find the phone number
other	PersonX changes PersonY opinion	more knowledgeable
other	PersonX buys the guitar	join a band
other	PersonX directs PersonY's course	appreciative
other	PersonX explores fully the ___	explores fully the buy product
other	PersonX makes PersonY impression	Show others.
other	PersonX has a bad dream	frightened
other	PersonX gives PersonY an interview	to accept an application
other	PersonX spends ___ with friends	develops relationships
other	PersonX tries to save PersonY	heroic
other	PersonX lands a new job	employer increases productivity of company
other	PersonX wins the game	sad
other	PersonX sees PersonX's son	content
other	PersonX provides PersonY incentive	ready for action
other	PersonX leads PersonX's team	authoritative
other	PersonX receives PersonX's share	hard work
other	PersonX ensures PersonY's safety	closer to personx
other	PersonX asks PersonY's friends	Low self-esteem
other	PersonX is taken to the hospital	worried
other	PersonX gets married in PersonY	romantic
other	PersonX improves PersonY's skills	to evaluate PersonY
other	PersonX recently made ___	To see what X has to sell
other	PersonX evens caught ___	skilled
other	PersonX hits the big time	to congratulation person X
other	PersonX gets ___ as well	to buy more things
other	PersonX fulfills PersonX's obligations	to pay personX
other	PersonX fights for PersonY's life	to feel content that he did a good thing
other	PersonX tells PersonY where to shove it	to walk up to PersonY
other	PersonX is a police officer	protect people
other	PersonX gives ___ a reward	use it often
