prefix	input_text	target_text
other	PersonX makes an excuse	nods head
other	PersonX burns PersonX's mouth	drink too much
other	PersonX presses PersonY's hands	to slap PersonX
other	PersonX joins the track team	to attend meets
other	PersonX takes ___ on vacation	to pack
other	PersonX gives the kitten	excited
other	PersonX makes the dough	Purchases the ingredients.
other	PersonX keeps PersonX's lips sealed	anxious
other	PersonX comes under PersonY observation	is followed
other	PersonX pushes ___ on the ground	also enjoy
other	PersonX touches PersonY's arm	lovely
other	PersonX meets PersonX's obligations	to be responsible
other	PersonX gets my money back	unhappy
other	PersonX leaves PersonY's keys	to sleep in their own bed.
other	PersonX gets a date with PersonY	to close the phonecall
other	PersonX saves PersonY the trouble	to help PersonY out
other	PersonX wears ___ all the time	to look good
other	PersonX is always good	receive aid from PersonX
other	PersonX effects PersonY change	sad
other	PersonX lets PersonY go	mad
other	PersonX opens the door for PersonY	to express gratitude
other	PersonX evicts from PersonY's apartment	To get money back
other	PersonX wants to tell PersonY	to explain the situation
other	PersonX creates PersonY organization	organized
other	PersonX makes ___ in PersonY's image	To get into action
other	PersonX dismisses the ___ from PersonX's mind	to be bothered by something that happened
other	PersonX gets really angry	mean
other	PersonX tickles PersonY's funny bone	smiles
other	PersonX remodels PersonY's bathroom	PersonX gets dirty
other	PersonX pays ___ to caesar	wealthy
other	PersonX constitutes PersonY part	tell person x they owe him one
other	PersonX gets ___ last night	tired
other	PersonX wants to go for a walk	to walk and standing on the ground
other	PersonX gives PersonY PersonX's attention	closer to personx
other	PersonX walks straight	to be mindful of PersonX's surroundings
other	PersonX calls ___ into the office	to talk to them
other	PersonX points the finger	confront Person X
other	PersonX declares PersonX's intention	gets something off their chest
other	PersonX passes PersonX's class	complete the exams
other	PersonX changes PersonX's nature	X's kids get gifts.
other	PersonX minds PersonY's own business	to do what they do
other	PersonX gives ___ a discount	thoughtful
other	PersonX tells the teacher	to snitch
other	PersonX means PersonY harm	to be mean
other	PersonX gives PersonY some medicine	loved.
other	PersonX is really embarrassed	blushes
other	PersonX runs PersonX's ___ through PersonX's hair	has less loose hairs
other	PersonX races PersonY's friend	to work out
other	PersonX meets PersonX's neighbors	open
other	PersonX lies at PersonY's feet	rolls over
other	PersonX is pulled over by a cop	gets suspicious
other	PersonX discharges PersonY's duties	starts crying
other	PersonX finds ___ in the world	expect good world
other	PersonX hits ___ in the head	bleeds
other	PersonX makes fun of PersonY's	arrogant
other	PersonX paints PersonY's bedroom	to pay person x
other	PersonX escapes PersonY's mouth	goes hungry
other	PersonX finishes in time	accomplished
other	PersonX finds one anywhere	to show it off
other	PersonX wears PersonX's helmet	to be safe
other	PersonX carries ___ to the car	to pack up
other	PersonX imitates PersonY's example	yelled at
other	PersonX goes hiking in the mountains	smiles in joy and pride
other	PersonX opens the bag	gets the content out
other	PersonX finds PersonY's owner	owner hugs persony
other	PersonX eats vegetables	to be healthy
other	PersonX graduates college	hug PersonX
other	PersonX finds ___ for PersonY's souls	To assist Y
other	PersonX scars PersonY to death	cries
other	PersonX breaks PersonX's mother 's favorite vase	annoyed
other	PersonX knows PersonY's value	proud
other	PersonX makes ___ on the stove	eat the food
other	PersonX asks a question	to go on with the lesson
other	PersonX looks right at PersonY	to approach PersonY
other	PersonX plays a ___ in the evolution	to survive their environment
other	PersonX is already late	get cut off in traffic by Person X
other	PersonX grabs PersonY's wallet	sad
other	PersonX tries to scare PersonY	Chases Y
other	PersonX trains ___ to become	GET BENEFITS
other	PersonX goes back to sleep	to wake up
other	PersonX lies at PersonY's feet	hugs PersonY's feet
other	PersonX has PersonX's ears lowered	get a car
other	PersonX creates PersonY file	to compile knowledge of persony
other	PersonX prevents PersonY from reaching	are being forced back
other	PersonX brushes PersonX's teeth ___	to go to bed
other	PersonX goes and buy ___	cash it in
other	PersonX keeps PersonY safe	cared for
other	PersonX is PersonY's best friend	sends an email
other	PersonX expresses PersonY ___ to PersonZ wife	to keep the secret
other	PersonX gives a pop quiz	grades quiz
other	PersonX raises the spectre	to make a ruling
other	PersonX makes anything	to be handy
other	PersonX invites PersonY to a party	makes a friend
other	PersonX calls PersonY for help	obliging
other	PersonX says PersonX's prayers	to talk to god
other	PersonX hits the books	to read a story
other	PersonX accomplishes PersonX's purpose	ambitious
other	PersonX wants PersonY answer	appreciated
other	PersonX is a fashion designer	to design
other	PersonX comes ___ that evening	sleeps at home
other	PersonX watches the show	to sit on the couch
other	PersonX leaves ___ in the kitchen	to go to the bathroom
other	PersonX puts ___ in the freezer	to go to the freezer
other	PersonX is a movie star	to be actor
other	PersonX puts out PersonX's hand	to greet another person
other	PersonX wins the game for PersonX's team	celebrates
other	PersonX wraps PersonY's arms around PersonY's waist	feels hands
other	PersonX hires on the spot	Does a good job.
other	PersonX gives ___ trouble	cries
other	PersonX gets a date	meets someone new
other	PersonX converts the ___ to christianity	controlled
other	PersonX asks PersonY to take	to escape from him
other	PersonX arrives the next day	late
other	PersonX starts the day	rides the bus
other	PersonX supports PersonY's claim	happy
other	PersonX comes to a head	sure of himself
other	PersonX beats PersonX's wife	think to fight
other	PersonX lets PersonY sleep	to sleep too
other	PersonX invites PersonY's boyfriend	to have an affair
other	PersonX kicks ___ out of the house	PersonX breaks up with their spouse
other	PersonX keeps ___ at a distance	sad
other	PersonX has too much to drink	to tell them they probably shouldn't of done that
other	PersonX lands the plane	To take time off
other	PersonX plays a few games	mature
other	PersonX reduces ___ by reducing	to be recognized for it
